RecipientFullName,FirstName,Email/Handle,IntroPath,Subject,Body
Geoffrey Hinton,Geoffrey,,Warm intro via academic network; assistant route,Foundational Witness invitation,"Subject: Foundational Witness invitation

Geoffrey, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Your public stance on AI risks reframed the field; this corpus operationalizes that warning into training-relevant examples.
— Martin Vandeursen
"
Mo Gawdat,Mo,,LinkedIn + speaking agent,Foundational Witness invitation,"Subject: Foundational Witness invitation

Mo, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Your work on humane scale makes compassion legible; we’re asking you to encode it so systems can inherit it.
— Martin Vandeursen
"
Yoshua Bengio,Yoshua,marie-josee.beauchamp@mila.quebec,Assistant email (per doc),Foundational Witness invitation,"Subject: Foundational Witness invitation

Yoshua, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Your foundational safety work aligns with a high-signal dataset that complements quantitative approaches.
— Martin Vandeursen
"
Stuart Russell,Stuart,jp@humancompatible.ai,Assistant email (per doc),Foundational Witness invitation,"Subject: Foundational Witness invitation

Stuart, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: A ‘Human Compatible’ inheritance requires curated testimony; your voice calibrates the rubric for depth.
— Martin Vandeursen
"
Kate Crawford,Kate,info@katecrawford.net,Assistant email (per doc),Foundational Witness invitation,"Subject: Foundational Witness invitation

Kate, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Atlas of AI → a living archive that actively counters power asymmetries at the source data layer.
— Martin Vandeursen
"
Timnit Gebru,Timnit,@timnitGebru@dair-community.social,Mastodon DM / email via DAIR site,Foundational Witness invitation,"Subject: Foundational Witness invitation

Timnit, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: You’ve shown measurement gaps; help define dataset norms that equity demands at the source.
— Martin Vandeursen
"
Joy Buolamwini,Joy,,Warm intro via AJL; LinkedIn if needed,Foundational Witness invitation,"Subject: Foundational Witness invitation

Joy, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: From audits to authorship — encode algorithmic justice directly into the high-signal corpus.
— Martin Vandeursen
"
Jaan Tallinn,Jaan,,Secure channel / aligned fund network,Foundational Witness invitation,"Subject: Foundational Witness invitation

Jaan, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: An EA-aligned lifeboat for humanity’s ethos — philanthropy milestones tied to signal quality.
— Martin Vandeursen
"
Paul Christiano,Paul,,Warm intro via alignment community,Foundational Witness invitation,"Subject: Foundational Witness invitation

Paul, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Your eval thinking maps cleanly to pairwise ranking for qualitative depth; we’d value your fingerprints on it.
— Martin Vandeursen
"
Richard Ngo,Richard,,Warm intro via safety/AGI community,Foundational Witness invitation,"Subject: Foundational Witness invitation

Richard, a quick request. We’re curating a **high-signal wisdom corpus** (non-profit) to align AI. It’s private, de-identified, and focused on *depth over volume*. We’d value your testimony (20–30m written assessment) and optional advisory input. If open, I’ll share the Gate link + 2-pager.

Why you: Stress-test prompts against deception and goal misgeneralization; help define success criteria.
— Martin Vandeursen
"
